City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Sorong,ID,79.41,overcast clouds,-0.8833,131.25,
1,Albany,US,46.17,clear sky,42.6001,-73.9662,
2,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,
3,Cidreira,BR,71.8,clear sky,-30.1811,-50.2056,
4,Jamestown,US,42.03,clear sky,42.097,-79.2353,
5,Vaini,TO,71.76,few clouds,-21.2,-175.2,
6,Punta Arenas,CL,42.91,light intensity drizzle,-53.15,-70.9167,
7,Terekli-Mekteb,RU,60.76,few clouds,44.1671,45.8698,
8,Rikitea,PF,74.17,scattered clouds,-23.1203,-134.9692,
9,Ushuaia,AR,42.42,drizzle,-54.8,-68.3,
10,Hirara,JP,66.11,light rain,24.8,125.2833,
11,Yemelyanovo,RU,31.08,scattered clouds,56.1681,92.6767,
12,Kapaa,US,71.92,scattered clouds,22.0752,-159.319,
13,Port Elizabeth,ZA,64.69,broken clouds,-33.918,25.5701,
14,Mataura,NZ,46.13,broken clouds,-46.1927,168.8643,
15,Eureka,US,53.2,clear sky,40.8021,-124.1637,
16,Soyo,AO,78.49,light rain,-6.1349,12.3689,
17,Busselton,AU,71.85,overcast clouds,-33.65,115.3333,
18,Padang,ID,76.44,clear sky,-0.9492,100.3543,
20,Mar Del Plata,AR,68.02,few clouds,-38.0023,-57.5575,
21,Sabang,ID,82.69,moderate rain,5.8933,95.3214,
22,Nicolas De Pierola,PE,55.69,broken clouds,-11.95,-76.7,
23,Castro,BR,65.3,overcast clouds,-24.7911,-50.0119,
25,Zaragoza,ES,50.45,few clouds,41.6561,-0.8773,
26,Tabora,TZ,71.08,scattered clouds,-5.0167,32.8,
27,Itarema,BR,82.24,overcast clouds,-2.9248,-39.9167,
28,New Norfolk,AU,54.9,broken clouds,-42.7826,147.0587,
29,Merauke,ID,79.54,overcast clouds,-8.4667,140.3333,
30,Mutum,BR,82.76,broken clouds,-19.8,-41.4383,
31,Broome,US,41.63,overcast clouds,42.2506,-75.833,
32,Isangel,VU,79.84,light rain,-19.55,169.2667,
34,Betlitsa,RU,31.28,snow,54.0095,33.9588,
35,Saint George,US,65.62,clear sky,37.1041,-113.5841,
36,Mandalgovi,MN,39.0,clear sky,45.7625,106.2708,
38,Point Pedro,LK,81.21,few clouds,9.8167,80.2333,
