City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Sorong,ID,2022-04-02 16:39:33,-0.8833,131.25,79.41,81,100,4.83,overcast clouds
1,Albany,US,2022-04-02 16:37:53,42.6001,-73.9662,46.17,43,4,4.0,clear sky
2,Avarua,CK,2022-04-02 16:39:33,-21.2078,-159.775,73.45,94,85,2.3,overcast clouds
3,Cidreira,BR,2022-04-02 16:39:33,-30.1811,-50.2056,71.8,68,5,13.8,clear sky
4,Jamestown,US,2022-04-02 16:39:34,42.097,-79.2353,42.03,48,0,4.61,clear sky
5,Vaini,TO,2022-04-02 16:39:34,-21.2,-175.2,71.76,100,20,0.0,few clouds
6,Punta Arenas,CL,2022-04-02 16:36:05,-53.15,-70.9167,42.91,93,100,12.66,light intensity drizzle
7,Terekli-Mekteb,RU,2022-04-02 16:39:34,44.1671,45.8698,60.76,53,16,4.09,few clouds
8,Rikitea,PF,2022-04-02 16:39:35,-23.1203,-134.9692,74.17,57,48,8.19,scattered clouds
9,Ushuaia,AR,2022-04-02 16:39:35,-54.8,-68.3,42.42,93,100,6.91,drizzle
10,Hirara,JP,2022-04-02 16:39:35,24.8,125.2833,66.11,81,100,28.95,light rain
11,Yemelyanovo,RU,2022-04-02 16:35:27,56.1681,92.6767,31.08,80,40,11.18,scattered clouds
12,Kapaa,US,2022-04-02 16:38:47,22.0752,-159.319,71.92,94,40,16.11,scattered clouds
13,Port Elizabeth,ZA,2022-04-02 16:36:26,-33.918,25.5701,64.69,83,75,4.0,broken clouds
14,Mataura,NZ,2022-04-02 16:39:36,-46.1927,168.8643,46.13,98,68,2.35,broken clouds
15,Eureka,US,2022-04-02 16:39:36,40.8021,-124.1637,53.2,85,6,4.0,clear sky
16,Soyo,AO,2022-04-02 16:39:37,-6.1349,12.3689,78.49,88,100,9.55,light rain
17,Busselton,AU,2022-04-02 16:39:37,-33.65,115.3333,71.85,73,98,5.5,overcast clouds
18,Padang,ID,2022-04-02 16:39:37,-0.9492,100.3543,76.44,81,7,4.25,clear sky
19,Gorin,RU,2022-04-02 16:39:38,51.1983,136.6669,28.96,89,100,5.26,overcast clouds
20,Mar Del Plata,AR,2022-04-02 16:37:45,-38.0023,-57.5575,68.02,61,20,20.71,few clouds
21,Sabang,ID,2022-04-02 16:36:21,5.8933,95.3214,82.69,74,100,7.67,moderate rain
22,Nicolas De Pierola,PE,2022-04-02 16:39:38,-11.95,-76.7,55.69,63,62,9.1,broken clouds
23,Castro,BR,2022-04-02 16:39:38,-24.7911,-50.0119,65.3,81,100,8.37,overcast clouds
24,Aykhal,RU,2022-04-02 16:39:39,66.0,111.5,11.07,95,100,13.18,light snow
25,Zaragoza,ES,2022-04-02 16:37:44,41.6561,-0.8773,50.45,25,20,32.21,few clouds
26,Tabora,TZ,2022-04-02 16:39:39,-5.0167,32.8,71.08,70,49,1.28,scattered clouds
27,Itarema,BR,2022-04-02 16:39:40,-2.9248,-39.9167,82.24,75,89,8.55,overcast clouds
28,New Norfolk,AU,2022-04-02 16:39:40,-42.7826,147.0587,54.9,69,72,1.39,broken clouds
29,Merauke,ID,2022-04-02 16:39:40,-8.4667,140.3333,79.54,74,100,3.6,overcast clouds
30,Mutum,BR,2022-04-02 16:39:40,-19.8,-41.4383,82.76,65,69,1.23,broken clouds
31,Broome,US,2022-04-02 16:39:41,42.2506,-75.833,41.63,60,100,9.22,overcast clouds
32,Isangel,VU,2022-04-02 16:39:41,-19.55,169.2667,79.84,87,100,8.25,light rain
33,Tazovskiy,RU,2022-04-02 16:39:41,67.4667,78.7,-1.16,100,44,7.14,scattered clouds
34,Betlitsa,RU,2022-04-02 16:39:42,54.0095,33.9588,31.28,97,100,13.22,snow
35,Saint George,US,2022-04-02 16:38:31,37.1041,-113.5841,65.62,31,0,0.0,clear sky
36,Mandalgovi,MN,2022-04-02 16:39:42,45.7625,106.2708,39.0,20,6,7.49,clear sky
37,Upernavik,GL,2022-04-02 16:39:43,72.7868,-56.1549,14.16,92,93,12.26,overcast clouds
38,Point Pedro,LK,2022-04-02 16:39:43,9.8167,80.2333,81.21,79,22,7.85,few clouds
39,Touros,BR,2022-04-02 16:39:43,-5.1989,-35.4608,85.12,67,100,13.91,overcast clouds
40,Buraydah,SA,2022-04-02 16:39:44,26.326,43.975,88.25,9,89,11.5,overcast clouds
41,Yellowknife,CA,2022-04-02 16:39:44,62.456,-114.3525,-0.71,64,75,4.61,broken clouds
42,Bengkulu,ID,2022-04-02 16:39:44,-3.8004,102.2655,77.54,80,95,4.81,overcast clouds
43,Hermanus,ZA,2022-04-02 16:39:44,-34.4187,19.2345,63.81,70,93,18.01,overcast clouds
44,Bambous Virieux,MU,2022-04-02 16:39:45,-20.3428,57.7575,75.22,100,75,11.5,heavy intensity rain
45,Carnarvon,AU,2022-04-02 16:39:45,-24.8667,113.6333,77.07,83,40,5.75,scattered clouds
46,Bandarbeyla,SO,2022-04-02 16:39:45,9.4942,50.8122,79.81,78,11,7.74,few clouds
