City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Sorong,ID,79.41,-0.8833,131.25,
2,Avarua,CK,73.45,-21.2078,-159.775,
3,Cidreira,BR,71.8,-30.1811,-50.2056,
5,Vaini,TO,71.76,-21.2,-175.2,
7,Terekli-Mekteb,RU,60.76,44.1671,45.8698,
8,Rikitea,PF,74.17,-23.1203,-134.9692,
10,Hirara,JP,66.11,24.8,125.2833,
12,Kapaa,US,71.92,22.0752,-159.319,
13,Port Elizabeth,ZA,64.69,-33.918,25.5701,
15,Eureka,US,53.2,40.8021,-124.1637,
16,Soyo,AO,78.49,-6.1349,12.3689,
17,Busselton,AU,71.85,-33.65,115.3333,
18,Padang,ID,76.44,-0.9492,100.3543,
20,Mar Del Plata,AR,68.02,-38.0023,-57.5575,
21,Sabang,ID,82.69,5.8933,95.3214,
22,Nicolas De Pierola,PE,55.69,-11.95,-76.7,
23,Castro,BR,65.3,-24.7911,-50.0119,
25,Zaragoza,ES,50.45,41.6561,-0.8773,
26,Tabora,TZ,71.08,-5.0167,32.8,
27,Itarema,BR,82.24,-2.9248,-39.9167,
28,New Norfolk,AU,54.9,-42.7826,147.0587,
29,Merauke,ID,79.54,-8.4667,140.3333,
30,Mutum,BR,82.76,-19.8,-41.4383,
32,Isangel,VU,79.84,-19.55,169.2667,
35,Saint George,US,65.62,37.1041,-113.5841,
38,Point Pedro,LK,81.21,9.8167,80.2333,
39,Touros,BR,85.12,-5.1989,-35.4608,
40,Buraydah,SA,88.25,26.326,43.975,
42,Bengkulu,ID,77.54,-3.8004,102.2655,
43,Hermanus,ZA,63.81,-34.4187,19.2345,
44,Bambous Virieux,MU,75.22,-20.3428,57.7575,
45,Carnarvon,AU,77.07,-24.8667,113.6333,
46,Bandarbeyla,SO,79.81,9.4942,50.8122,
47,Guerrero Negro,MX,64.06,27.9769,-114.0611,
48,Chissamba,AO,68.41,-12.1667,17.3333,
49,Bluff,NZ,57.4,-46.6,168.3333,
51,La Ligua,CL,73.22,-32.4524,-71.2311,
53,Cape Town,ZA,70.21,-33.9258,18.4232,
54,Taltal,CL,67.57,-25.4,-70.4833,
55,Chakia,IN,83.59,26.4167,85.05,
56,Jamame,SO,80.91,0.0722,42.7506,
57,Ponta Do Sol,PT,65.12,32.6667,-17.1,
58,Katsuura,JP,51.51,35.1333,140.3,
59,Constitucion,CL,65.57,-35.3333,-72.4167,
60,Hithadhoo,MV,83.32,-0.6,73.0833,
61,Mareeba,AU,68.72,-17.0,145.4333,
62,Desur,IN,79.74,12.4333,79.4833,
63,Kalemie,CD,74.66,-5.9475,29.1947,
65,Torres,BR,70.48,-29.3353,-49.7269,
66,Bredasdorp,ZA,62.62,-34.5322,20.0403,
69,Atuona,PF,78.67,-9.8,-139.0333,
70,Cayenne,GF,80.1,4.9333,-52.3333,
71,Chuy,UY,69.01,-33.6971,-53.4616,
72,Rio Grande,BR,77.11,-32.035,-52.0986,
73,Chipata,ZM,65.55,-13.6333,32.65,
74,Airai,TL,57.52,-8.9266,125.4092,
75,Cabedelo,BR,88.47,-6.9811,-34.8339,
76,Dangara,IN,81.54,29.6799,75.8931,
77,Saraland,US,69.42,30.8207,-88.0706,
78,Murgab,TM,69.67,37.4966,61.9714,
79,Victoria,HK,61.32,22.2855,114.1577,
81,Malur,IN,86.02,13.0075,77.9378,
83,Kieta,PG,77.92,-6.2167,155.6333,
84,Conde,BR,87.26,-7.2597,-34.9075,
87,Kiunga,PG,72.46,-6.1219,141.2906,
90,Fortuna,US,52.93,40.5982,-124.1573,
94,Puerto Ayora,EC,84.16,-0.7393,-90.3518,
96,Butaritari,KI,81.39,3.0707,172.7902,
98,Horadiz,AZ,63.37,39.4488,47.3353,
99,Hailey,US,50.88,43.5196,-114.3153,
100,Chicama,PE,66.74,-7.8447,-79.1469,
101,Port Alfred,ZA,64.18,-33.5906,26.891,
102,Mackay,AU,71.69,-21.15,149.2,
103,Sola,VU,79.11,-13.8833,167.55,
106,Almaznyy,RU,55.42,48.0448,40.045,
107,Port-Gentil,GA,80.94,-0.7193,8.7815,
108,Maceio,BR,87.24,-9.6658,-35.7353,
109,Ribeira Grande,PT,63.0,38.5167,-28.7,
110,Lompoc,US,61.92,34.6391,-120.4579,
113,Meulaboh,ID,78.35,4.1363,96.1285,
114,Hobart,AU,55.26,-42.8794,147.3294,
116,Lagoa,PT,58.89,39.05,-27.9833,
118,Kloulklubed,PW,73.9,7.0419,134.2556,
119,Hit,IQ,78.12,33.6416,42.8251,
122,Rocha,UY,72.95,-34.4833,-54.3333,
124,Sungaipenuh,ID,63.37,-2.0833,101.3833,
125,Coffs Harbour,AU,64.13,-30.3,153.1333,
126,Bosaso,SO,80.74,11.2842,49.1816,
127,Hilo,US,69.53,19.7297,-155.09,
128,Sao Filipe,CV,72.27,14.8961,-24.4956,
129,Hilton Head Island,US,71.01,32.2163,-80.7526,
131,Shakawe,BW,78.53,-18.3667,21.85,
132,Caravelas,BR,85.3,-17.7125,-39.2481,
133,Muros,ES,59.68,42.7762,-9.0603,
134,Korla,CN,56.84,41.7597,86.1469,
135,Saldanha,ZA,75.25,-33.0117,17.9442,
136,Arkansas City,US,60.62,37.062,-97.0384,
137,Beyneu,KZ,63.18,45.3167,55.2,
138,Komsomolskiy,UZ,65.12,40.4272,71.7189,
139,Salalah,OM,82.49,17.0151,54.0924,
142,Faanui,PF,81.93,-16.4833,-151.75,
147,Alice Springs,AU,62.15,-23.7,133.8833,
149,San Clemente,US,62.78,33.427,-117.612,
150,Zhanaozen,KZ,65.7,43.3,52.8,
152,Umm Lajj,SA,82.56,25.0213,37.2685,
153,Ancud,CL,52.23,-41.8697,-73.8203,
155,Minab,IR,77.32,27.1467,57.0801,
156,Khazar,RU,62.96,41.9974,48.3332,
